id;name;geoid;geoname;value;datetime
612;Precio mercado SPOT Intradiario Sesión 1;3;España;23.25;2016-01-03T23:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;13.78;2016-01-04T00:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;11;2016-01-04T01:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;8.5;2016-01-04T02:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;6.5;2016-01-04T03:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;5.4;2016-01-04T04:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;11;2016-01-04T05:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;19.36;2016-01-04T06:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;29.94;2016-01-04T07:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;38;2016-01-04T08:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;42;2016-01-04T09:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;44.63;2016-01-04T10:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;42.57;2016-01-04T11:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;41.13;2016-01-04T12:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;41;2016-01-04T13:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;37.33;2016-01-04T14:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;33.88;2016-01-04T15:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;34.5;2016-01-04T16:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;39.7;2016-01-04T17:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;42.2;2016-01-04T18:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;40.96;2016-01-04T19:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;39.81;2016-01-04T20:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;39.66;2016-01-04T21:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;35;2016-01-04T22:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;21.93;2016-01-04T23:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;24.28;2016-01-05T00:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;22.1;2016-01-05T01:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;9.1;2016-01-05T02:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;7;2016-01-05T03:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;7.9;2016-01-05T04:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.69;2016-01-05T05:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;20.59;2016-01-05T06:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;29.19;2016-01-05T07:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;40.45;2016-01-05T08:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;41.22;2016-01-05T09:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;40.66;2016-01-05T10:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;40.33;2016-01-05T11:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;38.15;2016-01-05T12:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;36.23;2016-01-05T13:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;31.21;2016-01-05T14:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;32.33;2016-01-05T15:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;33.13;2016-01-05T16:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;37.95;2016-01-05T17:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;44.33;2016-01-05T18:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;43.42;2016-01-05T19:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;40;2016-01-05T20:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;34.92;2016-01-05T21:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;32.99;2016-01-05T22:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;31.5;2016-01-05T23:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;20;2016-01-06T00:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.4;2016-01-06T01:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.4;2016-01-06T02:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;10;2016-01-06T03:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;8.3;2016-01-06T04:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;8.5;2016-01-06T05:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;10.42;2016-01-06T06:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;17.22;2016-01-06T07:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;14.6;2016-01-06T08:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;17.22;2016-01-06T09:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;22.89;2016-01-06T10:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;23.1;2016-01-06T11:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;20;2016-01-06T12:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;20;2016-01-06T13:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;18.1;2016-01-06T14:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.4;2016-01-06T15:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.55;2016-01-06T16:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;18.35;2016-01-06T17:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;24.54;2016-01-06T18:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;28.86;2016-01-06T19:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;29.99;2016-01-06T20:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;30.42;2016-01-06T21:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;27.1;2016-01-06T22:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;22.11;2016-01-06T23:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;20;2016-01-07T00:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;12.4;2016-01-07T01:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;6.5;2016-01-07T02:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;6.5;2016-01-07T03:00:00
612;Precio mercado SPOT Intradiario Sesión 1;3;España;5.4;2016-01-07T04:00:00
